,VehicleMake,MostFailedComponent,MostFailedComponentratio
84,RELIANT,Ratio: Vehicle and Safety Equipment,0.01
85,RENAULT,Ratio: Lighting and Electrical,18.12
86,RILEY,Ratio: Vehicle and Safety Equipment,0
87,ROLLS ROYCE,Ratio: Emmissions,0.03003003
88,ROVER,Ratio: Steering and Suspension,0.95
89,SAAB,Ratio: Steering and Suspension,9.38
90,SEAT,"Ratio: Engine, Noise and Exhaust",5.045045045
91,SHELSLEY,Ratio: Vehicle and Safety Equipment,0.01
92,SKODA,Ratio: Suspension Test,25.83333333
93,SMART,Ratio: Braking Equipment,0.649350649
94,SSANGYONG,Ratio: Wheels and Tyres,1.049250535
95,STANDARD MOTOR COMPANY,Ratio: Steering and Suspension,0.01
96,SUBARU,Ratio: Suspension Test,0.68
97,SUZUKI,Ratio: Lighting and Electrical,1.71
98,TALBOT,Ratio: Vehicle and Safety Equipment,0.01
99,TATA,Ratio: Braking Equipment,0.02
100,TESLA,Ratio: Steering and Suspension,0.02
101,TIGER,Ratio: Emmissions,0.01
102,TOYOTA,Ratio: Lighting and Electrical,36.28
103,TRABANT,Ratio: Lighting and Electrical,0.01
104,TRIUMPH,Ratio: Steering and Suspension,0.02
105,TVR,Ratio: Vehicle and Safety Equipment,0.01
106,VAUXHALL,Ratio: Steering and Suspension,3.6
107,VINTAGE MOTOR COMPANY,Ratio: Emmissions,0.01
108,VOLKSWAGEN,Ratio: Lighting and Electrical,16.61
109,VOLVO,Ratio: Side Slip Test,3.48
110,WESTFIELD,Ratio: Lighting and Electrical,0.01
111,YUGO,Ratio: Lighting and Electrical,0.02
